MoTe2 scan
Current Position 
70.000
R(V)	Theta
0.001074	-50.211478
0.001074	-50.217826
Mean R	Std.Dev R
0.001062	7.565436E-6
Mean T	Std.Dev T
-50.170698	0.111207
Current Position 
69.880
R(V)	Theta
0.001073	-50.259304
0.001072	-50.260023
0.001072	-50.261166
0.001071	-50.262729
0.001071	-50.264683
0.001070	-50.266769
0.001070	-50.269213
0.001069	-50.272062
0.001069	-50.275083
0.001068	-50.277854
0.001068	-50.280151
0.001067	-50.281944
0.001067	-50.283347
0.001066	-50.284360
0.001066	-50.284726
0.001066	-50.284239
0.001065	-50.282736
0.001065	-50.280175
0.001064	-50.276498
0.001064	-50.271279
0.001064	-50.264459
0.001063	-50.256082
0.001063	-50.247505
0.001062	-50.239604
0.001062	-50.232013
0.001062	-50.224339
0.001062	-50.216700
0.001062	-50.209083
0.001061	-50.201088
0.001061	-50.192696
0.001061	-50.183327
0.001061	-50.172598
0.001061	-50.160463
0.001061	-50.147478
0.001062	-50.134012
0.001062	-50.120186
0.001062	-50.106159
0.001062	-50.092216
0.001063	-50.078663
0.001063	-50.065558
0.001063	-50.052927
0.001064	-50.040310
0.001064	-50.027450
0.001064	-50.014567
0.001065	-50.001914
0.001065	-49.989663
0.001065	-49.977952
0.001066	-49.967024
0.001066	-49.957187
0.001066	-49.948551
0.001067	-49.940899
0.001067	-49.933983
0.001067	-49.927831
0.001067	-49.922376
0.001068	-49.917580
0.001068	-49.913613
0.001068	-49.910602
0.001068	-49.908634
0.001068	-49.907451
0.001068	-49.907153
0.001069	-49.907726
0.001069	-49.909066
0.001069	-49.911102
0.001069	-49.913513
0.001069	-49.916657
0.001068	-49.920844
0.001068	-49.926494
0.001068	-49.934030
0.001068	-49.943480
0.001068	-49.954613
0.001068	-49.967151
0.001068	-49.980190
0.001068	-49.993128
0.001068	-50.005386
0.001068	-50.016374
0.001067	-50.025264
0.001068	-50.031988
0.001068	-50.036563
0.001068	-50.039108
0.001068	-50.039826
0.001068	-50.039043
0.001068	-50.036695
0.001069	-50.033038
0.001069	-50.028446
0.001070	-50.023170
0.001070	-50.017210
0.001071	-50.011083
0.001072	-50.004867
0.001072	-49.998566
0.001073	-49.992069
0.001074	-49.985528
0.001075	-49.979079
0.001075	-49.972884
0.001076	-49.966957
0.001077	-49.961381
0.001078	-49.956274
0.001079	-49.951590
0.001080	-49.947080
0.001081	-49.942661
0.001082	-49.938548
Mean R	Std.Dev R
0.001068	4.558930E-6
Mean T	Std.Dev T
-50.073489	0.136065
Current Position 
69.865
R(V)	Theta
0.001074	-49.957804
0.001074	-49.963497
0.001075	-49.970683
0.001075	-49.979376
0.001075	-49.989459
0.001075	-50.000631
0.001075	-50.012704
0.001075	-50.025434
0.001075	-50.038710
0.001075	-50.052585
0.001075	-50.066398
0.001076	-50.080072
0.001076	-50.093331
0.001076	-50.106008
0.001076	-50.118140
0.001076	-50.129717
0.001076	-50.140654
0.001075	-50.151040
0.001075	-50.160919
0.001075	-50.170319
0.001075	-50.179627
0.001075	-50.189094
0.001074	-50.198783
0.001074	-50.208544
0.001074	-50.218269
0.001073	-50.227792
0.001073	-50.236688
0.001073	-50.244716
0.001072	-50.251683
0.001072	-50.257107
0.001071	-50.260877
0.001071	-50.263219
0.001071	-50.264477
0.001070	-50.264869
0.001070	-50.264534
0.001069	-50.263233
0.001069	-50.261080
0.001069	-50.257969
0.001068	-50.254245
0.001068	-50.250034
0.001068	-50.245561
0.001068	-50.240906
0.001068	-50.235979
0.001068	-50.230691
0.001068	-50.225063
0.001068	-50.219051
0.001068	-50.212648
0.001069	-50.205808
0.001069	-50.198743
0.001070	-50.191673
0.001070	-50.185080
0.001071	-50.178766
0.001072	-50.172668
0.001072	-50.167126
0.001073	-50.162312
0.001074	-50.158059
0.001075	-50.154253
0.001075	-50.150994
0.001076	-50.148282
0.001077	-50.145970
0.001077	-50.144138
0.001078	-50.142977
0.001078	-50.142489
0.001079	-50.142409
0.001079	-50.142581
0.001079	-50.143007
0.001079	-50.143536
0.001079	-50.144276
0.001079	-50.145409
0.001079	-50.146943
0.001079	-50.149100
0.001079	-50.151838
0.001079	-50.155158
0.001079	-50.159229
0.001078	-50.163858
0.001078	-50.168778
0.001078	-50.173535
0.001078	-50.178029
0.001077	-50.182651
0.001077	-50.187543
0.001077	-50.192849
0.001076	-50.198560
0.001076	-50.204510
0.001075	-50.210576
0.001075	-50.216734
0.001075	-50.222854
0.001074	-50.228724
0.001074	-50.234287
0.001073	-50.239408
0.001073	-50.244008
0.001072	-50.248194
0.001072	-50.251788
0.001071	-50.254710
0.001071	-50.257077
0.001070	-50.258671
0.001070	-50.259286
0.001069	-50.258813
0.001069	-50.257254
0.001068	-50.254777
0.001068	-50.251559
Mean R	Std.Dev R
0.001074	3.515014E-6
Mean T	Std.Dev T
-50.177061	0.076871
Current Position 
69.850
R(V)	Theta
0.001070	-49.896763
0.001070	-49.890374
0.001070	-49.884227
0.001070	-49.878013
0.001070	-49.871768
0.001070	-49.865833
0.001070	-49.860341
0.001070	-49.855450
0.001070	-49.851297
0.001070	-49.848131
0.001071	-49.845916
0.001071	-49.844585
0.001071	-49.844366
0.001071	-49.845266
0.001071	-49.847216
0.001072	-49.850253
0.001072	-49.854622
0.001072	-49.860380
0.001072	-49.867441
0.001073	-49.875423
0.001073	-49.884257
0.001073	-49.893587
0.001073	-49.903411
0.001073	-49.913907
0.001074	-49.925157
0.001074	-49.937479
0.001074	-49.950790
0.001074	-49.964724
0.001075	-49.978898
0.001075	-49.993200
0.001075	-50.007578
0.001075	-50.021657
0.001075	-50.035553
0.001076	-50.049583
0.001076	-50.063547
0.001076	-50.077175
0.001076	-50.090260
0.001076	-50.103040
0.001076	-50.115438
0.001076	-50.127648
0.001076	-50.139782
0.001076	-50.151978
0.001076	-50.164438
0.001076	-50.177093
0.001076	-50.189586
0.001075	-50.201621
0.001075	-50.213223
0.001075	-50.224392
0.001074	-50.234667
0.001074	-50.244157
0.001074	-50.252784
0.001073	-50.260337
0.001073	-50.266622
0.001073	-50.271785
0.001072	-50.275869
0.001072	-50.278670
0.001072	-50.279944
0.001071	-50.279920
0.001071	-50.278867
0.001071	-50.276577
0.001071	-50.272757
0.001071	-50.267134
0.001071	-50.259895
0.001071	-50.251365
0.001071	-50.241677
0.001071	-50.230891
0.001071	-50.219266
0.001072	-50.206962
0.001072	-50.194055
0.001072	-50.180501
0.001072	-50.166485
