MoTe2 scan
Current Position 
70.000
R(V)	Theta
0.001068	-50.105517
0.001068	-50.111277
0.001069	-50.117484
0.001069	-50.124257
0.001069	-50.131518
0.001070	-50.139347
0.001070	-50.147841
0.001070	-50.156905
0.001070	-50.166642
0.001071	-50.176907
0.001071	-50.187681
0.001071	-50.198532
0.001071	-50.209216
0.001071	-50.219855
0.001072	-50.230059
0.001072	-50.239614
0.001072	-50.248512
0.001072	-50.256795
0.001072	-50.264343
0.001072	-50.271365
0.001072	-50.277798
0.001072	-50.283508
0.001072	-50.288318
0.001072	-50.292143
0.001072	-50.294859
0.001072	-50.296381
0.001072	-50.296845
0.001072	-50.296288
0.001072	-50.294932
0.001072	-50.293037
0.001072	-50.290580
0.001073	-50.287478
0.001073	-50.283922
0.001073	-50.280210
0.001073	-50.276484
0.001073	-50.272896
0.001074	-50.269598
0.001074	-50.266467
0.001074	-50.263795
0.001074	-50.261831
0.001075	-50.260551
0.001075	-50.259878
0.001075	-50.259733
0.001075	-50.260017
0.001075	-50.260513
0.001075	-50.261213
0.001076	-50.262273
0.001076	-50.263964
0.001076	-50.266172
0.001076	-50.268487
0.001076	-50.270882
0.001076	-50.273568
0.001076	-50.276478
0.001076	-50.279397
0.001076	-50.282121
0.001076	-50.284421
0.001076	-50.286019
0.001076	-50.286862
0.001076	-50.287033
0.001076	-50.286419
0.001076	-50.284881
0.001076	-50.282418
0.001077	-50.279126
Mean R	Std.Dev R
0.001070	4.514870E-6
Mean T	Std.Dev T
-50.152346	0.138597
Current Position 
69.880
R(V)	Theta
0.001065	-50.334405
0.001065	-50.334627
0.001065	-50.334917
0.001065	-50.335129
0.001064	-50.334974
0.001064	-50.334270
0.001064	-50.333094
0.001064	-50.331372
0.001064	-50.329296
0.001064	-50.326621
0.001064	-50.322763
0.001064	-50.317784
0.001064	-50.311925
0.001064	-50.305146
0.001064	-50.297444
0.001065	-50.288944
0.001065	-50.279959
0.001065	-50.270930
0.001065	-50.262143
0.001066	-50.253510
0.001066	-50.244979
0.001066	-50.236522
0.001067	-50.228155
0.001067	-50.220034
0.001068	-50.212163
0.001068	-50.204306
0.001068	-50.196586
0.001069	-50.188771
0.001069	-50.180209
0.001070	-50.170711
0.001070	-50.160249
0.001071	-50.148994
0.001071	-50.137076
0.001072	-50.124625
0.001072	-50.111716
0.001072	-50.097997
0.001073	-50.083899
0.001073	-50.069295
0.001074	-50.054414
0.001075	-50.039358
